Freq,PSD,frecuencia predominante,Tension resultante media
8.2833333,0.000188981,53,45
24.85,1.17037E-06,53,45
41.4166667,2.27791E-05,53,45
57.9833333,5.64173E-05,53,45
74.55,0.000142027,53,45
91.1166667,3.37093E-06,53,45
107.6833333,1.24358E-05,53,45
124.25,1.24789E-05,53,45
140.8166667,1.01646E-05,53,45
157.3833333,1.72124E-05,53,45
173.95,9.66197E-06,53,45
190.5166667,1.43039E-05,53,45
207.0833333,1.56189E-05,53,45
223.65,1.23093E-05,53,45
240.2166667,1.22888E-05,53,45
256.7833333,1.6825E-05,53,45
273.35,1.30348E-05,53,45
289.9166667,1.14846E-05,53,45
306.4833333,1.28769E-05,53,45
323.05,1.59954E-05,53,45
339.6166667,1.33935E-05,53,45
356.1833333,1.44071E-05,53,45
372.75,1.41941E-05,53,45
389.3166667,1.47301E-05,53,45
405.8833333,1.38775E-05,53,45
422.45,1.16286E-05,53,45
439.0166667,1.46236E-05,53,45
455.5833333,1.71309E-05,53,45
472.15,1.17317E-05,53,45
488.7166667,1.35114E-05,53,45
8.2833333,0.000214576,53,45
24.85,5.07654E-06,53,45
41.4166667,4.07919E-08,53,45
57.9833333,3.41284E-07,53,45
74.55,3.78021E-06,53,45
91.1166667,4.87784E-07,53,45
107.6833333,3.67497E-07,53,45
124.25,2.24439E-07,53,45
140.8166667,7.39388E-08,53,45
157.3833333,4.27121E-08,53,45
173.95,8.13574E-07,53,45
190.5166667,6.79153E-08,53,45
207.0833333,4.50955E-07,53,45
223.65,4.57941E-09,53,45
240.2166667,1.20992E-07,53,45
256.7833333,3.15721E-08,53,45
273.35,2.27246E-09,53,45
289.9166667,1.74403E-08,53,45
306.4833333,7.45208E-08,53,45
323.05,2.17786E-09,53,45
339.6166667,1.93347E-10,53,45
356.1833333,5.10909E-08,53,45
372.75,5.04964E-08,53,45
389.3166667,1.28488E-08,53,45
405.8833333,1.03367E-09,53,45
422.45,2.80718E-09,53,45
439.0166667,2.03564E-08,53,45
455.5833333,3.11716E-08,53,45
472.15,4.12596E-10,53,45
488.7166667,5.37974E-09,53,45
8.2833333,6.77838E-05,53,45
24.85,1.32356E-05,53,45
41.4166667,4.87021E-07,53,45
57.9833333,1.388E-06,53,45
74.55,1.12101E-06,53,45
91.1166667,6.95608E-06,53,45
107.6833333,1.30746E-07,53,45
124.25,1.35406E-07,53,45
140.8166667,6.52685E-06,53,45
157.3833333,3.05774E-06,53,45
173.95,1.41564E-07,53,45
190.5166667,4.06237E-06,53,45
207.0833333,2.71289E-07,53,45
223.65,1.14216E-07,53,45
240.2166667,2.64929E-06,53,45
256.7833333,1.74258E-07,53,45
273.35,1.01842E-06,53,45
289.9166667,1.20896E-06,53,45
306.4833333,2.06381E-06,53,45
323.05,3.65812E-07,53,45
339.6166667,1.7119E-06,53,45
356.1833333,3.05257E-07,53,45
372.75,1.76864E-06,53,45
389.3166667,3.77372E-07,53,45
405.8833333,5.3954E-07,53,45
422.45,2.63325E-07,53,45
439.0166667,6.72452E-07,53,45
455.5833333,2.61759E-07,53,45
472.15,6.49216E-07,53,45
488.7166667,5.00019E-07,53,45
8.6833333,9.13514E-05,115,30
26.05,5.89968E-06,115,30
43.4166667,5.15521E-05,115,30
60.7833333,3.45083E-05,115,30
78.15,1.57873E-07,115,30
95.5166667,2.40073E-06,115,30
112.8833333,1.11412E-07,115,30
130.25,7.84389E-06,115,30
147.6166667,1.30067E-05,115,30
164.9833333,1.37879E-05,115,30
182.35,7.2771E-06,115,30
199.7166667,6.92444E-06,115,30
217.0833333,1.22367E-05,115,30
234.45,1.08944E-05,115,30
251.8166667,1.1908E-05,115,30
269.1833333,8.33506E-06,115,30
286.55,1.19714E-05,115,30
303.9166667,9.31246E-06,115,30
321.2833333,1.07406E-05,115,30
338.65,1.15698E-05,115,30
356.0166667,1.31439E-05,115,30
373.3833333,1.11788E-05,115,30
390.75,1.50906E-05,115,30
408.1166667,1.10258E-05,115,30
